adduser	3.137ubuntu1	all	adduser	3.137ubuntu1
apt	2.8.3	amd64	apt	2.8.3
base-files	13ubuntu10.4	amd64	base-files	13ubuntu10.4
base-passwd	3.6.3build1	amd64	base-passwd	3.6.3build1
bash	5.2.21-2ubuntu4	amd64	bash	5.2.21-2ubuntu4
bsdutils	1:2.39.3-9ubuntu6.6	amd64	util-linux	2.39.3-9ubuntu6.6
ca-certificates	20260601~24.04.1	all	ca-certificates	20260601~24.04.1
coreutils	9.4-3ubuntu6.3	amd64	coreutils	9.4-3ubuntu6.3
dash	0.5.12-6ubuntu5	amd64	dash	0.5.12-6ubuntu5
debconf	1.5.86ubuntu1	all	debconf	1.5.86ubuntu1
debianutils	5.17build1	amd64	debianutils	5.17build1
diffutils	1:3.10-1ubuntu0.1	amd64	diffutils	1:3.10-1ubuntu0.1
dpkg	1.22.6ubuntu6.6	amd64	dpkg	1.22.6ubuntu6.6
e2fsprogs	1.47.0-2.4~exp1ubuntu4.1	amd64	e2fsprogs	1.47.0-2.4~exp1ubuntu4.1
findutils	4.9.0-5build1	amd64	findutils	4.9.0-5build1
gcc-14-base:amd64	14.2.0-4ubuntu2~24.04.1	amd64	gcc-14	14.2.0-4ubuntu2~24.04.1
git	1:2.43.0-1ubuntu7.3	amd64	git	1:2.43.0-1ubuntu7.3
git-man	1:2.43.0-1ubuntu7.3	all	git	1:2.43.0-1ubuntu7.3
gpgv	2.4.4-2ubuntu17.6	amd64	gnupg2	2.4.4-2ubuntu17.6
grep	3.11-4build1	amd64	grep	3.11-4build1
gzip	1.12-1ubuntu3.2	amd64	gzip	1.12-1ubuntu3.2
hostname	3.23+nmu2ubuntu2	amd64	hostname	3.23+nmu2ubuntu2
init-system-helpers	1.66ubuntu1	all	init-system-helpers	1.66ubuntu1
libacl1:amd64	2.3.2-1build1.1	amd64	acl	2.3.2-1build1.1
libapt-pkg6.0t64:amd64	2.8.3	amd64	apt	2.8.3
libassuan0:amd64	2.5.6-1build1	amd64	libassuan	2.5.6-1build1
libattr1:amd64	1:2.5.2-1ubuntu0.1	amd64	attr	1:2.5.2-1ubuntu0.1
libaudit-common	1:3.1.2-2.1build1.1	all	audit	1:3.1.2-2.1build1.1
libaudit1:amd64	1:3.1.2-2.1build1.1	amd64	audit	1:3.1.2-2.1build1.1
libblkid1:amd64	2.39.3-9ubuntu6.6	amd64	util-linux	2.39.3-9ubuntu6.6
libbrotli1:amd64	1.1.0-2build2	amd64	brotli	1.1.0-2build2
libbsd0:amd64	0.12.1-1build1.1	amd64	libbsd	0.12.1-1build1.1
libbz2-1.0:amd64	1.0.8-5.1ubuntu0.1	amd64	bzip2	1.0.8-5.1ubuntu0.1
libc-bin	2.39-0ubuntu8.8	amd64	glibc	2.39-0ubuntu8.8
libc6:amd64	2.39-0ubuntu8.8	amd64	glibc	2.39-0ubuntu8.8
libcap-ng0:amd64	0.8.4-2build2	amd64	libcap-ng	0.8.4-2build2
libcap2:amd64	1:2.66-5ubuntu2.4	amd64	libcap2	1:2.66-5ubuntu2.4
libcbor0.10:amd64	0.10.2-1.2ubuntu2	amd64	libcbor	0.10.2-1.2ubuntu2
libcom-err2:amd64	1.47.0-2.4~exp1ubuntu4.1	amd64	e2fsprogs	1.47.0-2.4~exp1ubuntu4.1
libcrypt1:amd64	1:4.4.36-4build1	amd64	libxcrypt	1:4.4.36-4build1
libcurl3t64-gnutls:amd64	8.5.0-2ubuntu10.13	amd64	curl	8.5.0-2ubuntu10.13
libdb5.3t64:amd64	5.3.28+dfsg2-7	amd64	db5.3	5.3.28+dfsg2-7
libdebconfclient0:amd64	0.271ubuntu3	amd64	cdebconf	0.271ubuntu3
libedit2:amd64	3.1-20230828-1build1	amd64	libedit	3.1-20230828-1build1
liberror-perl	0.17029-2	all	liberror-perl	0.17029-2
libexpat1:amd64	2.6.1-2ubuntu0.4	amd64	expat	2.6.1-2ubuntu0.4
libext2fs2t64:amd64	1.47.0-2.4~exp1ubuntu4.1	amd64	e2fsprogs	1.47.0-2.4~exp1ubuntu4.1
libffi8:amd64	3.4.6-1build1	amd64	libffi	3.4.6-1build1
libfido2-1:amd64	1.14.0-1build3	amd64	libfido2	1.14.0-1build3
libgcc-s1:amd64	14.2.0-4ubuntu2~24.04.1	amd64	gcc-14	14.2.0-4ubuntu2~24.04.1
libgcrypt20:amd64	1.10.3-2ubuntu0.2	amd64	libgcrypt20	1.10.3-2ubuntu0.2
libgdbm-compat4t64:amd64	1.23-5.1build1	amd64	gdbm	1.23-5.1build1
libgdbm6t64:amd64	1.23-5.1build1	amd64	gdbm	1.23-5.1build1
libgmp10:amd64	2:6.3.0+dfsg-2ubuntu6.1	amd64	gmp	2:6.3.0+dfsg-2ubuntu6.1
libgnutls30t64:amd64	3.8.3-1.1ubuntu3.6	amd64	gnutls28	3.8.3-1.1ubuntu3.6
libgpg-error0:amd64	1.47-3build2.1	amd64	libgpg-error	1.47-3build2.1
libgssapi-krb5-2:amd64	1.20.1-6ubuntu2.8	amd64	krb5	1.20.1-6ubuntu2.8
libhogweed6t64:amd64	3.9.1-2.2build1.1	amd64	nettle	3.9.1-2.2build1.1
libidn2-0:amd64	2.3.7-2build1.1	amd64	libidn2	2.3.7-2build1.1
libk5crypto3:amd64	1.20.1-6ubuntu2.8	amd64	krb5	1.20.1-6ubuntu2.8
libkeyutils1:amd64	1.6.3-3build1	amd64	keyutils	1.6.3-3build1
libkrb5-3:amd64	1.20.1-6ubuntu2.8	amd64	krb5	1.20.1-6ubuntu2.8
libkrb5support0:amd64	1.20.1-6ubuntu2.8	amd64	krb5	1.20.1-6ubuntu2.8
libldap2:amd64	2.6.10+dfsg-0ubuntu0.24.04.1	amd64	openldap	2.6.10+dfsg-0ubuntu0.24.04.1
liblz4-1:amd64	1.9.4-1build1.1	amd64	lz4	1.9.4-1build1.1
liblzma5:amd64	5.6.1+really5.4.5-1ubuntu0.3	amd64	xz-utils	5.6.1+really5.4.5-1ubuntu0.3
libmd0:amd64	1.1.0-2build1.1	amd64	libmd	1.1.0-2build1.1
libmount1:amd64	2.39.3-9ubuntu6.6	amd64	util-linux	2.39.3-9ubuntu6.6
libncursesw6:amd64	6.4+20240113-1ubuntu2.2	amd64	ncurses	6.4+20240113-1ubuntu2.2
libnettle8t64:amd64	3.9.1-2.2build1.1	amd64	nettle	3.9.1-2.2build1.1
libnghttp2-14:amd64	1.59.0-1ubuntu0.4	amd64	nghttp2	1.59.0-1ubuntu0.4
libnpth0t64:amd64	1.6-3.1build1	amd64	npth	1.6-3.1build1
libp11-kit0:amd64	0.25.3-4ubuntu2.2	amd64	p11-kit	0.25.3-4ubuntu2.2
libpam-modules:amd64	1.5.3-5ubuntu5.7	amd64	pam	1.5.3-5ubuntu5.7
libpam-modules-bin	1.5.3-5ubuntu5.7	amd64	pam	1.5.3-5ubuntu5.7
libpam-runtime	1.5.3-5ubuntu5.7	all	pam	1.5.3-5ubuntu5.7
libpam0g:amd64	1.5.3-5ubuntu5.7	amd64	pam	1.5.3-5ubuntu5.7
libpcre2-8-0:amd64	10.42-4ubuntu2.1	amd64	pcre2	10.42-4ubuntu2.1
libperl5.38t64:amd64	5.38.2-3.2ubuntu0.4	amd64	perl	5.38.2-3.2ubuntu0.4
libproc2-0:amd64	2:4.0.4-4ubuntu3.3	amd64	procps	2:4.0.4-4ubuntu3.3
libpsl5t64:amd64	0.21.2-1.1build1	amd64	libpsl	0.21.2-1.1build1
librtmp1:amd64	2.4+20151223.gitfa8646d.1-2build7	amd64	rtmpdump	2.4+20151223.gitfa8646d.1-2build7
libsasl2-2:amd64	2.1.28+dfsg1-5ubuntu3.1	amd64	cyrus-sasl2	2.1.28+dfsg1-5ubuntu3.1
libsasl2-modules-db:amd64	2.1.28+dfsg1-5ubuntu3.1	amd64	cyrus-sasl2	2.1.28+dfsg1-5ubuntu3.1
libseccomp2:amd64	2.5.5-1ubuntu3.1	amd64	libseccomp	2.5.5-1ubuntu3.1
libselinux1:amd64	3.5-2ubuntu2.1	amd64	libselinux	3.5-2ubuntu2.1
libsemanage-common	3.5-1build5	all	libsemanage	3.5-1build5
libsemanage2:amd64	3.5-1build5	amd64	libsemanage	3.5-1build5
libsepol2:amd64	3.5-2build1	amd64	libsepol	3.5-2build1
libsmartcols1:amd64	2.39.3-9ubuntu6.6	amd64	util-linux	2.39.3-9ubuntu6.6
libss2:amd64	1.47.0-2.4~exp1ubuntu4.1	amd64	e2fsprogs	1.47.0-2.4~exp1ubuntu4.1
libssh-4:amd64	0.10.6-2ubuntu0.5	amd64	libssh	0.10.6-2ubuntu0.5
libssl3t64:amd64	3.0.13-0ubuntu3.15	amd64	openssl	3.0.13-0ubuntu3.15
libstdc++6:amd64	14.2.0-4ubuntu2~24.04.1	amd64	gcc-14	14.2.0-4ubuntu2~24.04.1
libsystemd0:amd64	255.4-1ubuntu8.17	amd64	systemd	255.4-1ubuntu8.17
libtasn1-6:amd64	4.19.0-3ubuntu0.24.04.2	amd64	libtasn1-6	4.19.0-3ubuntu0.24.04.2
libtinfo6:amd64	6.4+20240113-1ubuntu2.2	amd64	ncurses	6.4+20240113-1ubuntu2.2
libudev1:amd64	255.4-1ubuntu8.17	amd64	systemd	255.4-1ubuntu8.17
libunistring5:amd64	1.1-2build1.1	amd64	libunistring	1.1-2build1.1
libuuid1:amd64	2.39.3-9ubuntu6.6	amd64	util-linux	2.39.3-9ubuntu6.6
libwrap0:amd64	7.6.q-33	amd64	tcp-wrappers	7.6.q-33
libxxhash0:amd64	0.8.2-2build1	amd64	xxhash	0.8.2-2build1
libzstd1:amd64	1.5.5+dfsg2-2build1.1	amd64	libzstd	1.5.5+dfsg2-2build1.1
login	1:4.13+dfsg1-4ubuntu3.2	amd64	shadow	1:4.13+dfsg1-4ubuntu3.2
logsave	1.47.0-2.4~exp1ubuntu4.1	amd64	e2fsprogs	1.47.0-2.4~exp1ubuntu4.1
mawk	1.3.4.20240123-1build1	amd64	mawk	1.3.4.20240123-1build1
mount	2.39.3-9ubuntu6.6	amd64	util-linux	2.39.3-9ubuntu6.6
ncurses-base	6.4+20240113-1ubuntu2.2	all	ncurses	6.4+20240113-1ubuntu2.2
ncurses-bin	6.4+20240113-1ubuntu2.2	amd64	ncurses	6.4+20240113-1ubuntu2.2
openssh-client	1:9.6p1-3ubuntu13.19	amd64	openssh	1:9.6p1-3ubuntu13.19
openssh-server	1:9.6p1-3ubuntu13.19	amd64	openssh	1:9.6p1-3ubuntu13.19
openssh-sftp-server	1:9.6p1-3ubuntu13.19	amd64	openssh	1:9.6p1-3ubuntu13.19
openssl	3.0.13-0ubuntu3.15	amd64	openssl	3.0.13-0ubuntu3.15
passwd	1:4.13+dfsg1-4ubuntu3.2	amd64	shadow	1:4.13+dfsg1-4ubuntu3.2
perl	5.38.2-3.2ubuntu0.4	amd64	perl	5.38.2-3.2ubuntu0.4
perl-base	5.38.2-3.2ubuntu0.4	amd64	perl	5.38.2-3.2ubuntu0.4
perl-modules-5.38	5.38.2-3.2ubuntu0.4	all	perl	5.38.2-3.2ubuntu0.4
procps	2:4.0.4-4ubuntu3.3	amd64	procps	2:4.0.4-4ubuntu3.3
sed	4.9-2ubuntu0.24.04.1	amd64	sed	4.9-2ubuntu0.24.04.1
sensible-utils	0.0.22	all	sensible-utils	0.0.22
sysvinit-utils	3.08-6ubuntu3	amd64	sysvinit	3.08-6ubuntu3
tar	1.35+dfsg-3ubuntu0.4	amd64	tar	1.35+dfsg-3ubuntu0.4
ubuntu-keyring	2023.11.28.1	all	ubuntu-keyring	2023.11.28.1
ucf	3.0043+nmu1	all	ucf	3.0043+nmu1
util-linux	2.39.3-9ubuntu6.6	amd64	util-linux	2.39.3-9ubuntu6.6
zlib1g:amd64	1:1.3.dfsg-3.1ubuntu2.2	amd64	zlib	1:1.3.dfsg-3.1ubuntu2.2
