adduser	3.137ubuntu1	all	adduser	3.137ubuntu1
apt	2.8.3	arm64	apt	2.8.3
base-files	13ubuntu10.4	arm64	base-files	13ubuntu10.4
base-passwd	3.6.3build1	arm64	base-passwd	3.6.3build1
bash	5.2.21-2ubuntu4	arm64	bash	5.2.21-2ubuntu4
bsdutils	1:2.39.3-9ubuntu6.6	arm64	util-linux	2.39.3-9ubuntu6.6
ca-certificates	20260601~24.04.1	all	ca-certificates	20260601~24.04.1
coreutils	9.4-3ubuntu6.3	arm64	coreutils	9.4-3ubuntu6.3
dash	0.5.12-6ubuntu5	arm64	dash	0.5.12-6ubuntu5
debconf	1.5.86ubuntu1	all	debconf	1.5.86ubuntu1
debianutils	5.17build1	arm64	debianutils	5.17build1
diffutils	1:3.10-1ubuntu0.1	arm64	diffutils	1:3.10-1ubuntu0.1
dpkg	1.22.6ubuntu6.6	arm64	dpkg	1.22.6ubuntu6.6
e2fsprogs	1.47.0-2.4~exp1ubuntu4.1	arm64	e2fsprogs	1.47.0-2.4~exp1ubuntu4.1
findutils	4.9.0-5build1	arm64	findutils	4.9.0-5build1
gcc-14-base:arm64	14.2.0-4ubuntu2~24.04.1	arm64	gcc-14	14.2.0-4ubuntu2~24.04.1
git	1:2.43.0-1ubuntu7.3	arm64	git	1:2.43.0-1ubuntu7.3
git-man	1:2.43.0-1ubuntu7.3	all	git	1:2.43.0-1ubuntu7.3
gpgv	2.4.4-2ubuntu17.6	arm64	gnupg2	2.4.4-2ubuntu17.6
grep	3.11-4build1	arm64	grep	3.11-4build1
gzip	1.12-1ubuntu3.2	arm64	gzip	1.12-1ubuntu3.2
hostname	3.23+nmu2ubuntu2	arm64	hostname	3.23+nmu2ubuntu2
init-system-helpers	1.66ubuntu1	all	init-system-helpers	1.66ubuntu1
libacl1:arm64	2.3.2-1build1.1	arm64	acl	2.3.2-1build1.1
libapt-pkg6.0t64:arm64	2.8.3	arm64	apt	2.8.3
